timestamp,ax,ay,az,gx,gy,gz
15946,-0.23828,-0.92346,-0.34338,0.73242,-0.42725,-0.06104
15990,-0.23975,-0.92407,-0.34460,0.73242,-0.48828,0.00000
16033,-0.23743,-0.92151,-0.34668,-1.46484,-0.30518,-0.18311
16075,-0.27087,-0.92383,-0.33789,1.15967,-1.22070,-0.30518
16117,-0.21790,-0.93518,-0.36328,0.24414,-1.28174,0.30518
16158,-0.24084,-0.93115,-0.33875,0.97656,-1.34277,-0.12207
16200,-0.23560,-0.91370,-0.34167,0.42725,0.06104,0.00000
16240,-0.24011,-0.91833,-0.34863,1.03760,-0.91553,-0.30518
16282,-0.24023,-0.92224,-0.34863,1.03760,-0.06104,0.00000
16322,-0.23621,-0.92310,-0.33911,1.83105,-0.42725,-0.30518
16364,-0.23779,-0.92383,-0.34106,2.01416,0.06104,-0.06104
16405,-0.23877,-0.92737,-0.33826,0.91553,-0.06104,-0.06104
16447,-0.23987,-0.92834,-0.33923,1.15967,-0.42725,-0.18311
16492,-0.23792,-0.92590,-0.34473,0.18311,-0.48828,-0.06104
16536,-0.23962,-0.92407,-0.33875,0.79346,-0.54932,-0.12207
16579,-0.23914,-0.92725,-0.34180,0.73242,-0.48828,-0.06104
16623,-0.23828,-0.92468,-0.34058,0.91553,-0.24414,-0.06104
16668,-0.23877,-0.92322,-0.34155,0.42725,-0.73242,0.00000
16710,-0.23865,-0.92358,-0.34607,0.54932,-0.48828,-0.06104
16754,-0.23669,-0.92187,-0.34106,0.85449,-0.36621,0.00000
16798,-0.23706,-0.92395,-0.34375,0.91553,-0.61035,-0.12207
16843,-0.23877,-0.92468,-0.34497,0.54932,-0.42725,0.00000
16885,-0.23779,-0.92126,-0.34143,0.85449,-0.42725,-0.06104
16930,-0.23816,-0.92334,-0.34509,0.79346,-0.54932,-0.06104
16975,-0.23767,-0.92334,-0.34473,0.67139,-0.24414,0.00000
17019,-0.23743,-0.92285,-0.34229,0.85449,-0.61035,-0.06104
17063,-0.23828,-0.92432,-0.34509,0.79346,-0.54932,-0.12207
17108,-0.23792,-0.92175,-0.34363,0.91553,-0.24414,-0.06104
17152,-0.23718,-0.92310,-0.34167,0.85449,-0.42725,-0.06104
17196,-0.23792,-0.92542,-0.34412,0.67139,-0.48828,0.00000
17240,-0.23840,-0.92358,-0.34204,0.73242,-0.36621,-0.06104
17284,-0.23779,-0.92334,-0.34314,0.85449,-0.48828,-0.06104
17328,-0.23901,-0.92517,-0.34448,0.67139,-0.36621,0.00000
17372,-0.23828,-0.92395,-0.34106,0.85449,-0.54932,-0.06104
17416,-0.23767,-0.92419,-0.34363,0.73242,-0.67139,-0.06104
17459,-0.23889,-0.92395,-0.34338,0.85449,-0.36621,-0.06104
17501,-0.23828,-0.92358,-0.34253,0.67139,-0.42725,-0.06104
17545,-0.23816,-0.92419,-0.34375,0.79346,-0.42725,-0.06104
17589,-0.23816,-0.92371,-0.34265,0.79346,-0.42725,-0.06104
17634,-0.23767,-0.92358,-0.34302,0.79346,-0.42725,-0.06104
17678,-0.23877,-0.92493,-0.34302,0.79346,-0.36621,-0.06104
17723,-0.23840,-0.92322,-0.34180,0.67139,-0.48828,-0.06104
17766,-0.23804,-0.92407,-0.34351,0.79346,-0.48828,-0.06104
17810,-0.23877,-0.92395,-0.34314,0.79346,-0.42725,-0.06104
17854,-0.23743,-0.92297,-0.34253,0.79346,-0.48828,-0.06104
17898,-0.23767,-0.92358,-0.34412,0.79346,-0.48828,-0.06104
17942,-0.23840,-0.92444,-0.34326,0.67139,-0.42725,0.00000
17986,-0.23877,-0.92285,-0.34290,0.85449,-0.42725,-0.06104
18030,-0.23767,-0.92285,-0.34363,0.73242,-0.42725,-0.06104
18073,-0.23743,-0.92322,-0.34326,0.73242,-0.36621,-0.06104
18117,-0.23779,-0.92395,-0.34265,0.85449,-0.48828,-0.12207
18161,-0.23767,-0.92468,-0.34302,0.73242,-0.42725,-0.06104
18205,-0.23779,-0.92395,-0.34253,0.73242,-0.42725,-0.06104
18249,-0.23877,-0.92444,-0.34363,0.79346,-0.48828,-0.06104
18294,-0.23877,-0.92432,-0.34326,0.73242,-0.42725,-0.06104
18338,-0.23779,-0.92358,-0.34302,0.79346,-0.36621,-0.06104
18380,-0.23816,-0.92432,-0.34387,0.73242,-0.48828,-0.06104
18424,-0.23755,-0.92371,-0.34326,0.79346,-0.36621,-0.06104
18467,-0.23828,-0.92383,-0.34277,0.73242,-0.54932,-0.06104
18512,-0.23816,-0.92480,-0.34412,0.73242,-0.42725,-0.06104
18556,-0.23877,-0.92346,-0.34277,0.67139,-0.48828,-15.62500
18600,-0.23877,-0.92358,-0.34387,0.67139,-0.48828,-0.06104
18645,-0.23694,-0.92432,-0.34399,0.79346,-0.42725,-0.06104
18688,-0.23804,-0.92395,-0.34314,0.61035,-0.48828,-0.06104
18732,-0.23792,-0.92322,-0.34448,0.73242,-0.42725,-0.06104
18775,-0.23828,-0.92419,-0.34363,0.73242,-0.48828,0.00000
18819,-0.23743,-0.92383,-0.34363,0.67139,-0.48828,-0.06104
18863,-0.23816,-0.92371,-0.34375,0.73242,-0.42725,-0.06104
18908,-0.23816,-0.92383,-0.34351,0.67139,-0.48828,0.00000
18952,-0.23840,-0.92456,-0.34253,0.67139,-0.42725,-0.12207
18995,-0.23779,-0.92395,-0.34387,0.73242,-0.42725,-0.06104
19040,-0.23816,-0.92407,-0.34375,0.67139,-0.48828,-0.06104
19085,-0.23816,-0.92346,-0.34338,0.85449,-0.42725,0.00000
19127,-0.23767,-0.92371,-0.34363,0.79346,-0.48828,-0.06104
19172,-0.23730,-0.92346,-0.34326,0.73242,-0.42725,-0.06104
19216,-0.23828,-0.92334,-0.34302,0.79346,-0.48828,-0.06104
19261,-0.23779,-0.92407,-0.34412,0.67139,-0.42725,0.00000
19303,-0.23779,-0.92261,-0.34363,0.85449,-0.42725,-0.06104
19347,-0.23730,-0.92419,-0.34338,0.73242,-0.48828,0.00000
19391,-0.23767,-0.92419,-0.34351,0.85449,-0.36621,-0.06104
19436,-0.23779,-0.92407,-0.34302,0.85449,-0.42725,-0.06104
19480,-0.23767,-0.92358,-0.34399,0.73242,-0.48828,0.00000
19522,-0.23792,-0.92346,-0.34351,0.85449,-0.48828,-0.06104
