timestamp,ax,ay,az,gx,gy,gz
32654,0.05420,-0.08777,1.00525,0.97656,-0.24414,-0.06104
32697,0.05115,-0.08484,1.00354,0.73242,-0.36621,-0.06104
32740,0.04651,-0.09131,1.00305,0.79346,-0.36621,-0.12207
32782,0.05017,-0.09119,1.00610,1.03760,-0.36621,-0.06104
32824,0.05225,-0.08716,1.00562,0.91553,-0.54932,0.00000
32865,0.05054,-0.08936,1.00574,0.61035,-0.42725,0.00000
32906,0.04932,-0.09570,1.00391,0.61035,-0.30518,0.00000
32947,0.04883,-0.08936,1.00439,0.79346,-0.30518,0.00000
32988,0.05347,-0.08691,1.00244,0.73242,-0.36621,0.06104
33030,0.05164,-0.09253,1.00330,0.61035,-0.36621,0.00000
33072,0.05139,-0.09485,1.00403,0.79346,-0.42725,-0.06104
33114,0.05164,-0.08850,1.00281,0.73242,-0.42725,0.00000
33156,0.05200,-0.08972,1.00293,0.79346,-0.42725,0.00000
33197,0.04797,-0.08899,1.00330,0.67139,-0.54932,-0.12207
33238,0.05054,-0.09070,1.00415,0.61035,-0.48828,-0.06104
33280,0.05347,-0.09216,1.00269,0.73242,-0.48828,-0.06104
33323,0.05090,-0.09192,1.00476,0.79346,-0.54932,-0.06104
33364,0.04761,-0.08643,1.00366,0.54932,-0.36621,0.06104
33406,0.04919,-0.09216,1.00378,0.61035,-0.42725,0.00000
33449,0.05347,-0.06360,1.00232,0.97656,-0.30518,-0.06104
33491,0.04980,-0.08630,1.00415,0.79346,-0.42725,-0.12207
33532,0.04907,-0.08630,1.00415,0.67139,-0.54932,-0.06104
33574,0.05078,-0.09314,1.00391,0.73242,-0.42725,-0.06104
33616,0.05188,-0.09045,1.00464,0.79346,-0.36621,-0.06104
33657,0.05090,-0.08752,1.00244,0.67139,-0.42725,-0.06104
33700,0.05017,-0.09058,1.00269,0.67139,-0.36621,-0.06104
33741,0.05090,-0.09070,1.00452,0.79346,-0.42725,-0.06104
33783,0.05054,-0.08899,1.00354,0.79346,-0.42725,-0.06104
33825,0.05017,-0.09131,1.00342,0.67139,-0.36621,0.00000
33868,0.04993,-0.09033,1.00342,0.67139,-0.36621,-0.06104
33908,0.05017,-0.08948,1.00330,0.79346,-0.42725,-0.06104
33951,0.05017,-0.09131,1.00354,0.73242,-0.36621,-0.06104
33993,0.05042,-0.09131,1.00256,0.85449,-0.48828,-0.06104
34034,0.05029,-0.08777,1.00269,0.67139,-0.42725,-0.06104
34076,0.05005,-0.08960,1.00342,0.61035,-0.48828,-0.06104
34118,0.05054,-0.09241,1.00220,0.85449,-0.42725,-0.06104
34160,0.05090,-0.08789,1.00244,0.85449,-0.42725,-0.06104
34201,0.05054,-0.08716,1.00330,0.79346,-0.42725,-0.06104
34242,0.04785,-0.09180,1.00244,0.67139,-0.36621,0.00000
34281,0.05017,-0.09229,1.00366,0.73242,-0.48828,-0.06104
34323,0.05176,-0.08447,1.00342,0.67139,-0.48828,0.00000
34365,0.04932,-0.09143,1.00159,0.61035,-0.48828,-0.06104
34406,0.04846,-0.09607,1.00317,0.73242,-0.48828,-0.06104
34448,0.05090,-0.08606,1.00256,0.67139,-0.42725,-0.06104
34489,0.05334,-0.08899,1.00208,0.61035,-0.48828,-0.06104
34532,0.04919,-0.08972,1.00232,0.73242,-0.61035,-0.06104
34573,0.04907,-0.08826,1.00391,0.73242,-0.48828,0.00000
34614,0.05103,-0.09204,1.00208,0.48828,-0.54932,0.06104
34654,0.05164,-0.09192,1.00073,0.73242,-0.54932,-0.06104
34695,0.04968,-0.08875,1.00305,0.73242,-0.54932,0.00000
34734,0.04871,-0.09009,1.00171,0.67139,-0.48828,0.06104
34774,0.05273,-0.09082,1.00269,0.67139,-0.61035,-0.12207
34815,0.05322,-0.08655,1.00354,0.54932,-0.67139,0.00000
34854,0.05322,-0.08643,1.00232,0.48828,-0.79346,0.00000
34894,0.05078,-0.08826,1.00146,0.79346,0.00000,0.00000
34933,0.05078,-0.09546,0.99939,0.12207,-0.54932,0.12207
34972,0.05029,-0.09741,1.00134,0.61035,-0.42725,0.00000
35013,0.05286,-0.09412,0.99829,0.61035,-0.48828,-0.12207
35053,0.05115,-0.08276,1.00122,0.61035,-0.24414,0.06104
35092,0.05127,-0.08569,1.00806,0.67139,-0.79346,-0.79346
35133,0.05127,-0.08826,1.00403,1.22070,-0.36621,-0.67139
35173,0.05225,-0.09436,1.00232,1.40381,-0.79346,-0.36621
35214,0.05396,-0.08374,1.00293,1.09863,1.22070,1.22070
35252,0.04858,-0.09729,1.00317,1.58691,-0.30518,-0.06104
35293,0.04980,-0.09607,1.00183,-0.12207,-0.18311,0.06104
35334,0.05176,-0.08875,1.00171,1.40381,-0.61035,-0.36621
35374,0.05151,-0.09216,1.00208,0.73242,-0.30518,0.00000
35414,0.05103,-0.08655,1.00195,0.85449,-0.36621,-0.18311
35454,0.05005,-0.09131,1.00183,0.48828,-0.54932,-15.56396
35494,0.05090,-0.09277,1.00195,0.79346,-0.42725,0.06104
35534,0.05176,-0.08899,1.00317,0.91553,-0.30518,-0.06104
35574,0.05188,-0.08447,1.00415,0.73242,-0.42725,0.00000
35614,0.05237,-0.19324,0.99988,-1.28174,-1.40381,3.90625
35655,0.06079,-0.04956,1.00171,-8.66699,2.44141,1.52588
35695,0.03918,-0.12073,1.00183,7.01904,-1.70898,-0.91553
35736,0.05432,-0.08203,1.00354,-3.17383,0.42725,0.42725
35775,0.05298,-0.08801,1.00208,2.07520,-0.67139,0.06104
35815,0.05017,-0.09595,1.00305,0.18311,-0.18311,0.00000
35855,0.05005,-0.08765,1.00354,0.54932,-0.48828,-0.18311
35895,0.05005,-0.08911,1.00366,0.97656,-0.48828,-0.06104
35936,0.05139,-0.09302,1.00452,1.03760,-0.54932,-0.18311
35976,0.05127,-0.09106,1.00366,0.30518,-0.36621,0.18311
36016,0.05054,-0.09070,1.00342,1.03760,-0.42725,-0.12207
36057,0.04932,-0.08960,1.00305,0.73242,-0.36621,-0.18311
36097,0.04834,-0.10620,1.00342,-0.79346,-0.24414,0.30518
36137,0.04895,-0.11169,1.00330,5.61523,-1.40381,3.17383
36177,0.21716,-0.08203,1.00708,10.00977,7.75146,-27.40479
36217,-0.03076,-0.01746,1.01416,-7.01904,4.82178,-9.70459
36257,-0.05835,-0.22571,1.20911,-35.76660,-0.18311,-12.26807
36299,0.04675,-0.13550,1.00745,-1.52588,-19.65332,-9.58252
36340,0.14331,-0.10217,0.83545,-44.00635,-14.58740,-19.34814
36382,0.12317,-0.18799,0.97754,-65.06348,1.70898,-14.09912
36422,0.00342,-0.26208,1.04834,-56.88477,6.65283,-13.42773
36463,0.12463,-0.28967,0.92456,-4.08936,-5.85937,-30.27344
36503,0.04126,-0.14380,1.07227,-17.51709,12.26807,-20.32471
36544,0.15723,-0.26868,0.83057,-28.56445,-15.13672,-27.52686
36587,0.08069,-0.30908,0.91931,-20.26367,-3.23486,-17.57813
36631,0.18494,-0.20740,0.94580,7.81250,-16.23535,-18.85986
36674,0.09644,-0.14355,0.82397,35.27832,-1.64795,-18.37158
36716,0.08179,-0.27673,1.05957,-33.26416,-3.05176,-20.50781
36758,0.02539,-0.25793,0.91638,4.08936,-0.18311,-16.96777
36799,0.04004,-0.22217,0.94019,8.42285,-5.06592,-13.61084
36840,0.16846,-0.30164,0.98401,-10.49805,11.53564,-9.27734
36882,0.10754,-0.32043,0.97693,-7.20215,-0.61035,-16.66260
36925,0.11414,-0.24756,0.90173,14.28223,0.12207,-5.06592
36966,0.23303,-0.18848,1.04541,9.76562,0.42725,-2.19727
37006,0.17896,-0.24927,0.93225,-4.21143,1.34277,0.91553
37048,0.12695,-0.21680,0.95239,13.42773,-49.19434,10.37598
37089,0.11658,-0.24500,0.89978,26.48926,-2.92969,7.32422
37131,0.12830,-0.26245,1.00208,17.02881,22.33887,5.79834
37172,0.04871,-0.21082,1.09717,-15.74707,9.58252,-10.92529
37214,0.17578,-0.21521,1.07092,1.52588,-2.25830,-9.33838
37255,0.15149,-0.20471,0.95300,-9.15527,-7.38525,-17.51709
37298,0.15588,-0.17773,0.93750,2.50244,9.46045,-3.35693
37339,0.09558,-0.14185,0.94556,2.07520,13.73291,-6.89697
37380,0.18066,-0.08435,0.89734,12.45117,-23.86475,9.82666
37422,0.13257,-0.23437,1.12207,16.90674,-8.48389,26.24512
37464,0.21021,-0.27893,0.90063,5.43213,0.48828,4.45557
37504,0.13940,-0.16211,1.04382,-1.46484,-2.38037,5.92041
37546,0.13818,-0.23901,0.93298,21.42334,-7.32422,8.17871
37588,0.15002,-0.19910,1.06702,0.91553,7.26318,-3.29590
37628,0.16846,-0.18640,0.94934,6.59180,11.77979,-2.31934
37670,0.05420,-0.19482,1.00476,-1.22070,11.65771,6.59180
37711,0.19104,-0.21484,1.05493,-1.70898,3.29590,-0.30518
37753,0.14685,-0.19263,1.04456,8.36182,-16.23535,0.18311
37794,0.16150,-0.13147,1.06213,20.62988,-27.03857,2.56348
37836,0.17114,-0.12207,0.97656,11.29150,-18.06641,7.56836
37876,0.20190,-0.12341,0.98926,12.02393,-17.57813,3.66211
37918,0.19849,-0.19495,0.94690,5.31006,-12.08496,-3.05176
37961,0.17017,-0.20178,1.04236,4.15039,-2.68555,-5.73730
38003,0.20398,-0.14343,1.02808,-8.54492,-4.57764,-4.39453
