timestamp,ax,ay,az,gx,gy,gz
1592314,-0.10767,0.30066,0.93799,0.54932,-0.85449,-0.85449
1592357,-0.10999,0.29626,0.94531,1.03760,-0.91553,-0.54932
1592399,-0.10522,0.29114,0.94421,0.36621,-1.15967,-0.48828
1592441,-0.11060,0.29797,0.94836,0.67139,0.24414,0.85449
1592481,-0.11255,0.29944,0.94714,0.18311,0.30518,-0.06104
1592523,-0.11023,0.29834,0.94531,0.30518,0.36621,-0.85449
1592563,-0.10107,0.29687,0.94226,-0.42725,0.00000,-0.36621
1592604,-0.10327,0.30042,0.93445,0.06104,1.28174,0.79346
1592646,-0.10474,0.29419,0.92358,1.58691,0.18311,-0.12207
1592687,-0.10693,0.29956,0.94165,-0.36621,-2.80762,0.48828
1592729,-0.10413,0.28870,0.94299,1.40381,-0.54932,0.48828
1592771,-0.10364,0.29016,0.96130,-0.67139,-0.24414,1.22070
1592813,-0.08899,0.28369,0.94568,-0.79346,0.97656,2.31934
1592855,-0.09277,0.28296,0.93701,0.97656,1.89209,4.69971
1592896,-0.09106,0.28406,0.92114,1.77002,-0.97656,5.98145
1592937,-0.10168,0.29651,0.93323,2.80762,-2.44141,8.72803
1592977,-0.11060,0.29919,0.94727,3.72314,-2.74658,9.09424
1593019,-0.11731,0.30969,0.95923,2.25830,-1.03760,9.52148
1593060,-0.11377,0.31702,0.95129,2.80762,2.68555,7.93457
1593100,-0.11084,0.32361,0.94580,1.58691,2.86865,6.34766
1593141,-0.09802,0.32373,0.93689,0.48828,1.89209,4.82178
1593182,-0.09680,0.32446,0.94470,0.73242,2.01416,3.17383
1593222,-0.09021,0.32800,0.93689,-0.12207,3.11279,2.80762
1593263,-0.08630,0.32312,0.92200,2.01416,3.90625,1.70898
1593304,-0.10388,0.35254,0.96179,1.64795,0.48828,1.15967
1593343,-0.09204,0.36633,0.97498,0.91553,0.61035,-3.17383
1593383,-0.08887,0.36877,0.94189,6.65283,6.28662,-5.12695
1593423,-0.09607,0.35657,0.90466,11.29150,7.08008,-8.17871
1593463,-0.10742,0.34143,0.88135,10.68115,0.67139,-14.03809
1593503,-0.12073,0.31787,0.87756,13.91602,-4.15039,-19.47021
1593543,-0.12512,0.32581,0.88660,36.37695,1.58691,-29.78516
1593584,-0.18127,0.40820,0.98999,40.40527,3.23486,-32.89795
1593626,-0.15137,0.41980,0.96228,33.93555,2.74658,-32.40967
1593667,-0.20300,0.45752,0.92151,25.20752,3.96729,-30.88379
1593708,-0.21448,0.47168,0.89404,28.38135,13.30566,-29.78516
1593749,-0.20667,0.47351,0.84412,27.40479,9.03320,-37.90283
1593790,-0.20422,0.49646,0.85840,19.28711,5.79834,-35.70557
1593832,-0.21460,0.46411,0.82520,9.33838,-2.38037,-38.75732
1593872,-0.18921,0.46094,0.78772,16.66260,-10.43701,-36.07178
1593913,-0.22937,0.46533,0.78113,21.54541,-10.55908,-24.47510
1593954,-0.24316,0.45703,0.78845,20.01953,-8.30078,-33.81348
1593997,-0.26538,0.47510,0.80054,16.23535,-6.59180,-31.92139
1594038,-0.28223,0.48853,0.81995,16.78467,-6.04248,-31.06689
1594081,-0.30750,0.49500,0.79492,16.41846,-0.12207,-32.95898
1594122,-0.33447,0.53467,0.78772,25.81787,4.33350,-32.34863
1594163,-0.36975,0.55273,0.77087,54.62646,14.95361,-42.48047
1594205,-0.39746,0.56873,0.73340,56.82373,11.35254,-45.10498
1594246,-0.41406,0.59387,0.67175,60.66895,4.76074,-50.53711
1594286,-0.45142,0.67139,0.68213,63.04932,-2.19727,-59.26514
