timestamp,ax,ay,az,gx,gy,gz
928860,-0.08484,-1.11987,-0.18347,-8.05664,9.58252,-1.09863
928905,-0.08228,-1.09851,-0.16565,0.30518,0.79346,6.65283
928947,-0.06323,-1.04309,-0.15710,0.30518,-0.61035,16.23535
928989,-0.06653,-1.02332,-0.13647,2.25830,3.17383,18.92090
929032,-0.06787,-0.98926,-0.14172,4.76074,7.38525,11.47461
929076,-0.06848,-0.97888,-0.16260,-5.85937,14.77051,4.33350
929119,-0.06921,-0.97266,-0.16492,-0.06104,18.24951,1.03760
929162,-0.06641,-0.99182,-0.20020,-1.70898,21.60645,-3.78418
929207,-0.05420,-1.00977,-0.24011,-13.85498,28.07617,-8.91113
929250,-0.05249,-1.01685,-0.25842,-12.63428,24.90234,-9.64355
929294,-0.03809,-1.02686,-0.29431,-22.82715,25.02441,-13.54980
929338,-0.03284,-1.03857,-0.29041,-30.88379,25.26855,-14.52637
929381,-0.03040,-1.03271,-0.29480,-21.97266,19.22607,-8.66699
929426,-0.01782,-1.04529,-0.29089,-16.60156,14.95361,2.01416
929468,-0.00879,-0.99927,-0.31934,-19.89746,21.78955,-0.85449
929512,0.05981,-0.94250,-0.31665,-41.01563,39.61182,-13.30566
929554,0.17456,-0.88098,-0.39038,-52.12402,52.61230,-24.16992
929597,0.30310,-0.80444,-0.49500,-101.25732,70.12939,-55.90820
929641,0.35950,-0.74756,-0.46252,-67.01660,31.06689,-65.55176
929684,0.27881,-0.81531,-0.41528,3.78418,-54.99268,-44.49463
929728,0.22070,-0.94250,-0.33826,70.49561,-113.58643,-1.77002
929772,0.34705,-0.92578,-0.53992,5.79834,-5.06592,-1.28174
929816,0.31140,-0.97046,-0.62134,-196.04492,159.24072,-80.74951
929858,0.24597,-0.85596,-0.43799,-128.78418,187.43896,-79.22363
929902,0.37463,-0.81848,-0.55835,-71.65527,147.15576,-62.07275
929946,0.60510,-0.83264,-0.71899,-8.36182,86.54785,-32.89795
929990,0.69751,-0.79578,-0.73059,-1.89209,48.95020,0.67139
930032,0.82690,-0.73499,-0.75061,7.08008,56.09131,19.59229
930074,1.01111,-0.63599,-0.75940,-15.01465,77.20947,15.99121
930117,0.86426,-0.71155,-0.68726,-0.73242,68.17627,-3.29590
930159,0.74622,-0.45044,-0.78528,-24.96338,55.66406,-14.83154
930202,0.71875,-0.52075,-1.30286,-3.47900,62.37793,-35.94971
930245,0.89246,-0.55872,-1.56506,-5.92041,30.57861,-34.42383
930288,0.90881,-0.75708,-2.04712,-52.61230,-69.82422,-23.92578
930333,0.61243,-0.81812,-0.56714,-110.29053,-221.00830,-0.24414
930377,0.45142,-0.85791,1.78210,-36.92627,-243.83545,46.69189
