timestamp,ax,ay,az,gx,gy,gz
1415159,-0.31921,-0.86890,0.47925,9.88770,-8.30078,-1.64795
1415202,-0.33362,-0.85779,0.43616,12.39014,-19.59229,4.15039
1415244,-0.30457,-0.80688,0.48804,9.33838,-18.61572,-3.96729
1415286,-0.29724,-0.80713,0.51355,17.33398,-15.93018,0.91553
1415328,-0.25659,-0.74426,0.53125,8.78906,-21.66748,-6.10352
1415370,-0.26038,-0.82544,0.55347,4.27246,-16.47949,-2.68555
1415411,-0.25513,-0.83276,0.53198,8.42285,-8.60596,3.66211
1415452,-0.24243,-0.82507,0.51196,0.61035,-2.44141,4.21143
1415493,-0.27563,-0.79590,0.54626,-4.27246,7.87354,3.47900
1415535,-0.28992,-0.81226,0.56506,14.64844,-2.86865,10.92529
1415576,-0.32092,-0.82629,0.55664,2.99072,1.64795,8.48389
1415617,-0.32117,-0.82983,0.53235,5.31006,-4.88281,5.49316
1415659,-0.29541,-0.82239,0.51245,-9.58252,-5.00488,-1.22070
1415701,-0.29968,-0.84485,0.49658,10.31494,-8.66699,11.96289
1415742,-0.31665,-0.81921,0.53088,4.76074,-3.78418,6.71387
1415783,-0.30981,-0.82092,0.53552,2.01416,3.54004,9.88770
1415824,-0.31055,-0.82056,0.51868,12.39014,-2.99072,8.60596
1415865,-0.30676,-0.80579,0.52966,10.19287,2.92969,9.39941
1415907,-0.30701,-0.77148,0.51367,4.45557,6.04248,5.73730
1415947,-0.30530,-0.79663,0.50891,2.50244,6.77490,3.05176
1415986,-0.31470,-0.76782,0.54028,4.02832,6.34766,2.01416
1416027,-0.32703,-0.79016,0.55457,10.19287,2.50244,0.61035
1416066,-0.33948,-0.79150,0.50439,15.99121,-2.07520,-2.31934
1416109,-0.32507,-0.80750,0.53174,12.93945,-1.46484,-0.24414
1416151,-0.34131,-0.78845,0.54980,12.87842,-5.73730,1.77002
1416193,-0.33032,-0.74487,0.56262,8.97217,-6.16455,-2.99072
1416234,-0.33496,-0.78381,0.57263,10.92529,-9.88770,-3.90625
1416275,-0.33044,-0.77234,0.58569,20.75195,-15.19775,-2.13623
1416316,-0.32483,-0.75256,0.59314,15.93018,-13.54980,-2.62451
1416357,-0.30579,-0.74768,0.63074,30.45654,-16.11328,-2.50244
1416398,-0.28503,-0.72607,0.65186,9.27734,-1.83105,-1.52588
1416439,-0.29614,-0.74414,0.67737,-5.85937,8.30078,-1.64795
1416480,-0.30920,-0.74048,0.65515,-17.33398,23.25439,1.40381
1416522,-0.32422,-0.76746,0.68799,-7.44629,21.30127,3.60107
1416562,-0.34094,-0.79114,0.59729,10.13184,16.17432,6.71387
1416602,-0.32349,-0.71985,0.56836,11.53564,15.68604,7.01904
1416642,-0.31836,-0.71667,0.51733,-5.12695,9.03320,-0.42725
1416683,-0.32544,-0.71289,0.52832,-14.64844,1.95312,-6.40869
1416724,-0.33997,-0.77319,0.54602,-8.72803,-7.14111,-10.55908
1416766,-0.32385,-0.79309,0.59290,-3.05176,-6.83594,-12.69531
1416808,-0.30981,-0.78638,0.58630,-9.70459,4.94385,-8.48389
1416849,-0.31128,-0.77820,0.62061,-11.10840,24.29199,-2.50244
1416890,-0.36023,-0.79871,0.62170,-19.95850,40.10010,-2.25830
1416933,-0.39880,-0.77930,0.56897,-34.66797,57.86133,-11.47461
1416974,-0.40540,-0.80042,0.48425,-36.01074,64.08691,-19.95850
1417016,-0.41089,-0.83252,0.40869,-57.00684,75.31738,-25.57373
1417057,-0.41943,-0.87622,0.40527,-29.29688,70.31250,-24.10889
1417099,-0.41296,-0.88379,0.31738,-1.95312,47.42432,-11.47461
1417140,-0.39526,-0.88635,0.29016,-11.90186,31.12793,-7.38525
1417181,-0.39404,-0.90161,0.30237,-5.73730,28.80859,-2.44141
1417222,-0.41174,-0.90015,0.28931,-1.89209,22.15576,1.46484
1417263,-0.42041,-0.90649,0.27979,-2.44141,18.73779,0.85449
1417304,-0.42407,-0.89722,0.26306,-11.29150,21.24023,-0.79346
1417345,-0.42615,-0.88647,0.22937,-11.90186,20.81299,-6.65283
1417386,-0.43030,-0.90198,0.21082,-9.88770,16.90674,-10.25391
1417427,-0.43420,-0.91577,0.19946,-10.00977,15.01465,-6.71387
1417468,-0.43420,-0.90979,0.18311,-7.26318,11.35254,-2.50244
1417509,-0.43530,-0.89917,0.17554,-3.84521,8.78906,-2.99072
1417551,-0.43713,-0.89099,0.16980,-6.65283,6.28662,-4.33350
1417592,-0.43103,-0.91321,0.17139,-4.76074,1.03760,-4.76074
1417633,-0.43054,-0.94116,0.18286,-3.29590,-0.67139,-3.78418
1417675,-0.44250,-0.94409,0.18848,-6.34766,-0.73242,-2.25830
1417716,-0.43530,-0.93262,0.19739,0.24414,-3.05176,2.25830
1417757,-0.43359,-0.92798,0.20154,-0.91553,-2.25830,3.78418
1417798,-0.43921,-0.92200,0.20239,-0.61035,-1.58691,1.83105
1417840,-0.43701,-0.92065,0.20447,-1.95312,-0.54932,0.91553
1417881,-0.43481,-0.91699,0.20166,-3.41797,-0.06104,1.64795
1417922,-0.42493,-0.92493,0.19836,1.34277,-0.61035,2.86865
1417963,-0.42773,-0.93347,0.20081,0.91553,1.40381,2.99072
1418003,-0.42542,-0.92297,0.19873,-1.83105,2.92969,2.86865
1418043,-0.41833,-0.91406,0.18774,-0.24414,3.66211,2.56348
1418084,-0.42480,-0.91711,0.17969,-2.62451,3.54004,-0.79346
